"Model","PART","MATERIAL","ID NUMBER","BIN NUMBER","CUT LENGTH","CRC","ADDITIONAL STEPS","STEPS","EXTRA"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"2.9654,2.0,6.0904,2.0,9.215399999999999,6.0,12.340399999999999,6.0,15.465399999999999,2.0,18.5904,2.0,21.7154,6.0,24.8404,6.0,27.9654,2.0,31.0904,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 B Up - Surface Mount & Universal Top', 1.0, 'n2agakvsez', 'Cable', 'B Up', 'Surface Mount', 'Universal Top', '', 1.0, 28.6, 36.0, 'PC Fluoropolymer: Black', 182537.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"2.9654,1.0,6.0904,1.0,9.215399999999999,5.0,12.340399999999999,5.0,15.465399999999999,1.0,18.5904,1.0,21.7154,5.0,24.8404,5.0,27.9654,1.0,31.0904,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 2.0, 'puywb3L3vL', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 2.0, 28.6, 36.0, 'PC Fluoropolymer: Black', 132010.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"2.9654,1.0,6.0904,1.0,9.215399999999999,5.0,12.340399999999999,5.0,15.465399999999999,1.0,18.5904,1.0,21.7154,5.0,24.8404,5.0,27.9654,1.0,31.0904,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 3.0, 'xzvqxtenpe', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 2.0, 28.6, 36.0, 'PC Fluoropolymer: Black', 132010.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,22.0,"0.5625,1.0,0.5625,4.0,0.0,1.0,3.125,1.0,6.25,5.0,9.375,5.0,12.5,1.0,15.625,1.0,18.75,5.0,21.875,5.0,25.0,1.0,28.125,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 G - Surface Mount & Universal Top', 4.0, 'urt9iagr2x', 'Cable', 'G', 'Surface Mount', 'Universal Top', '', 1.0, 28.6, 36.0, 'PC Fluoropolymer: Black', 246812.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"1.875,2,5,2,8.125,6,11.25,6,14.375,2,17.5,2,20.625,6,23.75,6,26.875,2,30,2,1.875,4,5,4,8.125,8,11.25,8,14.375,4,17.5,4,20.625,8,23.75,8,26.875,4,30,4","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 C Left - Surface Mount & Universal Top', 7.0, '2h8htb55Lm', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 2.0, '', 36.0, 'PC Fluoropolymer: Black', 132016.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"1.875,2,5,2,8.125,6,11.25,6,14.375,2,17.5,2,20.625,6,23.75,6,26.875,2,30,2,1.875,4,5,4,8.125,8,11.25,8,14.375,4,17.5,4,20.625,8,23.75,8,26.875,4,30,4","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 C Left - Surface Mount & Universal Top', 25.0, 'qs7v62i07r', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 2.0, '', 36.0, 'PC Fluoropolymer: Black', 132016.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"1.875,2,5,2,8.125,6,11.25,6,14.375,2,17.5,2,20.625,6,23.75,6,26.875,2,30,2,1.875,4,5,4,8.125,8,11.25,8,14.375,4,17.5,4,20.625,8,23.75,8,26.875,4,30,4","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 A-2 - Surface Mount & Universal Top', 6.0, 'uLLutx9m48', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 12.0, '', 36.0, 'PC Fluoropolymer: Black', 150199.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"1.875,2,5,2,8.125,6,11.25,6,14.375,2,17.5,2,20.625,6,23.75,6,26.875,2,30,2,1.875,4,5,4,8.125,8,11.25,8,14.375,4,17.5,4,20.625,8,23.75,8,26.875,4,30,4","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 A-2 - Surface Mount & Universal Top', 10.0, '65a0cxem8t', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 12.0, '', 36.0, 'PC Fluoropolymer: Black', 150199.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"1.875,2,5,2,8.125,6,11.25,6,14.375,2,17.5,2,20.625,6,23.75,6,26.875,2,30,2,1.875,4,5,4,8.125,8,11.25,8,14.375,4,17.5,4,20.625,8,23.75,8,26.875,4,30,4","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 A-2 - Surface Mount & Universal Top', 11.0, 'q8L0u0092y', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 12.0, '', 36.0, 'PC Fluoropolymer: Black', 150199.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"1.875,2,5,2,8.125,6,11.25,6,14.375,2,17.5,2,20.625,6,23.75,6,26.875,2,30,2,1.875,4,5,4,8.125,8,11.25,8,14.375,4,17.5,4,20.625,8,23.75,8,26.875,4,30,4","[198823.0, 43741.0, 43749.0, 'Cable - Alum - 36 A-2 - Surface Mount & Universal Top', 13.0, 'wh08gyzwkh', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 12.0, '', 36.0, 'PC Fluoropolymer: Black', 150199.0, '', '', '', '']"
