"Model","PART","MATERIAL","ID NUMBER","BIN NUMBER","CUT LENGTH","CRC","ADDITIONAL STEPS","STEPS","EXTRA"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[181738.0, 43746.0, 43754.0, 'Cable - Alum - 39 C Right - Special Application Foot & Universal Top', 13.0, 'Lszn44xyhx', 'Cable', 'C Right', 'Special Application', 'Universal Top', '', 3.0, '', 39.0, 'PC Fluoropolymer: Black', 132067.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[181738.0, 43746.0, 43754.0, 'Cable - Alum - 39 C Right - Special Application Foot & Universal Top', 35.0, '08wbx03Lxc', 'Cable', 'C Right', 'Special Application', 'Universal Top', '', 3.0, '', 39.0, 'PC Fluoropolymer: Black', 132067.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"3.5625,1.0,3.5625,4.0,0.0,1.0,3.125,1.0,6.25,5.0,9.375,5.0,12.5,1.0,15.625,1.0,18.75,5.0,21.875,5.0,25.0,1.0,28.125,1.0,4.875,3.0,8.0,3.0,11.125,7.0,14.25,7.0,17.375,3.0,20.5,3.0,23.625,7.0,26.75,7.0,29.875,3.0,33.0,3.0","[181738.0, 43746.0, 43754.0, 'Cable - Alum - 39 H - Special Application Foot & Universal Top', 39.0, 'gan0gvk059', 'Cable', 'H', 'Special Application', 'Universal Top', '', 1.0, 38.6, 39.0, 'PC Fluoropolymer: Black', 133186.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"3.5625,1.0,3.5625,4.0,0.0,1.0,3.125,1.0,6.25,5.0,9.375,5.0,12.5,1.0,15.625,1.0,18.75,5.0,21.875,5.0,25.0,1.0,28.125,1.0,4.875,3.0,8.0,3.0,11.125,7.0,14.25,7.0,17.375,3.0,20.5,3.0,23.625,7.0,26.75,7.0,29.875,3.0,33.0,3.0","[181738.0, 43746.0, 43754.0, 'Cable - Alum - 39 H - Special Application Foot & Universal Top', 41.0, 'b5nmLi7wbn', 'Cable', 'H', 'Special Application', 'Universal Top', '', 1.0, 38.6, 39.0, 'PC Fluoropolymer: Black', 133186.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[181738.0, 43746.0, 43754.0, 'Cable - Alum - 39 C Left - Special Application Foot & Universal Top', 45.0, 'pdtcgyuugx', 'Cable', 'C Left', 'Special Application', 'Universal Top', '', 1.0, '', 39.0, 'PC Fluoropolymer: Black', 132065.0]"

