"Model","PART","MATERIAL","ID NUMBER","BIN NUMBER","CUT LENGTH","CRC","ADDITIONAL STEPS","STEPS","EXTRA"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.3766,2.0,6.5016,2.0,9.6266,6.0,12.7516,6.0,15.8766,2.0,19.0016,2.0,22.1266,6.0,25.2516,6.0,28.3766,2.0,31.5016,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 36 B Up - Surface Mount & Universal Top', 1.0, 'e6od2wt08m', 'Cable', 'B Up', 'Surface Mount', 'Universal Top', '', 1.0, 36.9, 36.0, 'PC: Black', 182537.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.3766,1.0,6.5016,1.0,9.6266,5.0,12.7516,5.0,15.8766,1.0,19.0016,1.0,22.1266,5.0,25.2516,5.0,28.3766,1.0,31.5016,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 2.0, '8om91v1wa1', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 1.0, 36.9, 36.0, 'PC: Black', 132010.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",34.625,1,20.0,"3.3766,1.0,6.5016,1.0,9.6266,5.0,12.7516,5.0,15.8766,1.0,19.0016,1.0,22.1266,5.0,25.2516,5.0,28.3766,1.0,31.5016,1.0,1.875,4.0,5.0,4.0,8.125,8.0,11.25,8.0,14.375,4.0,17.5,4.0,20.625,8.0,23.75,8.0,26.875,4.0,30.0,4.0","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 36 BC Down - Surface Mount & Universal Top', 3.0, 'bw5a1quk4e', 'Cable', 'BC Down', 'Surface Mount', 'Universal Top', '', 1.0, 36.9, 36.0, 'PC: Black', 182649.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.3766,2.0,6.5016,2.0,9.6266,6.0,12.7516,6.0,15.8766,2.0,19.0016,2.0,22.1266,6.0,25.2516,6.0,28.3766,2.0,31.5016,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 36 B Up - Surface Mount & Universal Top', 4.0, 'b0u1mx67zs', 'Cable', 'B Up', 'Surface Mount', 'Universal Top', '', 1.0, 36.9, 36.0, 'PC: Black', 182537.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.3766,1.0,6.5016,1.0,9.6266,5.0,12.7516,5.0,15.8766,1.0,19.0016,1.0,22.1266,5.0,25.2516,5.0,28.3766,1.0,31.5016,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 5.0, '16r192eumi', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 2.0, 36.9, 36.0, 'PC: Black', 132010.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.3766,1.0,6.5016,1.0,9.6266,5.0,12.7516,5.0,15.8766,1.0,19.0016,1.0,22.1266,5.0,25.2516,5.0,28.3766,1.0,31.5016,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 6.0, 'a9uuygit5c', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 2.0, 36.9, 36.0, 'PC: Black', 132010.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.75,1,20.0,"3.3766,1.0,6.5016,1.0,9.6266,5.0,12.7516,5.0,15.8766,1.0,19.0016,1.0,22.1266,5.0,25.2516,5.0,28.3766,1.0,31.5016,1.0,1.875,4.0,5.0,4.0,8.125,8.0,11.25,8.0,14.375,4.0,17.5,4.0,20.625,8.0,23.75,8.0,26.875,4.0,30.0,4.0","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 36 BR Down - Surface Mount & Universal Top', 7.0, 'grcs3vp669', 'Cable', 'BR Down', 'Surface Mount', 'Universal Top', '', 1.0, 36.9, 36.0, 'PC: Black', 182651.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 9.0, 'ohspiqo097', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 7.0, '', 39.0, 'PC: Black', 150203.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 12.0, 'i535uhwek7', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 7.0, '', 39.0, 'PC: Black', 150203.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 13.0, 'nosrxgbkp4', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 7.0, '', 39.0, 'PC: Black', 150203.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 14.0, 'sm12qmqt75', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 7.0, '', 39.0, 'PC: Black', 150203.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 16.0, 'wp312Lun29', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 7.0, '', 39.0, 'PC: Black', 150203.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 18.0, 'zLsiixn0pw', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 7.0, '', 39.0, 'PC: Black', 150203.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 19.0, 'iLz0ggthwn', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 7.0, '', 39.0, 'PC: Black', 150203.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 8.0, 'b9d4orbdxo', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 4.0, '', 39.0, 'PC: Black', 132049.0, '', '', '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[200120.0, 43742.0, 43753.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 10.0, '51szp867yk', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 4.0, '', 39.0, 'PC: Black', 132049.0, '', '', '', '']"
