"Model","PART","MATERIAL","ID NUMBER","BIN NUMBER","CUT LENGTH","CRC","ADDITIONAL STEPS","STEPS","EXTRA"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 31.0, 'q4yrchL2za', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 2.0, '', 39.0, 'PC: Black', 132049.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 15.0, 'b94huucmg2', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 16.0, 'ciuyt2nu9p', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 17.0, '1q325d4qs6', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 18.0, 'epq5qsuk12', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 19.0, '941v76L2q7', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 20.0, '160Lv7e1bx', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 21.0, 'n4vLrggozc', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 22.0, '9sn4x9vkb8', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[197366.0, 43745.0, 43755.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 23.0, '4sxz7aLb84', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 16.0, '', 39.0, 'PC: Black', 150203.0, '', '']"
