"Model","PART","MATERIAL","ID NUMBER","BIN NUMBER","CUT LENGTH","CRC","ADDITIONAL STEPS","STEPS","EXTRA"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",27.3402,1,20.0,"3.2754000000000003,1.0,6.4004,1.0,9.525400000000001,5.0,12.650400000000001,5.0,15.775400000000001,1.0,18.9004,1.0,22.0254,5.0,25.1504,5.0,28.2754,1.0,31.4004,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[196575.0, 43735.0, 43745.0, 'Special: CR Post - Angled Foot - UT 80475', 6.0, 'v318nahnoL', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 1.0, 35.0, 26.5, 'PC: Black', 150194]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",30.4113,1,20.0,"3.4375999999999998,2.0,6.5626,2.0,9.6876,6.0,12.8126,6.0,15.9376,2.0,19.0626,2.0,22.1876,6.0,25.3126,6.0,28.4376,2.0,31.5626,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200086.0, 43735.0, 43745.0, 'Special: CR Post - Angled Foot - UT 82297', 1.0, 'ka07innttr', 'Cable', 'B Up', 'Surface Mount', 'Universal Top', '', 1.0, 38.0, 29.49, 'PC: Black', 182534]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",30.4113,1,20.0,"3.4375999999999998,1.0,6.5626,1.0,9.6876,5.0,12.8126,5.0,15.9376,1.0,19.0626,1.0,22.1876,5.0,25.3126,5.0,28.4376,1.0,31.5626,1.0,1.875,4.0,5.0,4.0,8.125,8.0,11.25,8.0,14.375,4.0,17.5,4.0,20.625,8.0,23.75,8.0,26.875,4.0,30.0,4.0","[200086.0, 43735.0, 43745.0, 'Special: CR Post - Angled Foot - UT 82298', 2.0, '0pchabri93', 'Cable', 'B Down', 'Surface Mount', 'Universal Top', '', 1.0, 38.0, 29.49, 'PC: Black', 182642]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",30.4113,1,20.0,"3.4375999999999998,2.0,6.5626,2.0,9.6876,6.0,12.8126,6.0,15.9376,2.0,19.0626,2.0,22.1876,6.0,25.3126,6.0,28.4376,2.0,31.5626,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200086.0, 43735.0, 43745.0, 'Special: CR Post - Angled Foot - UT 82299', 3.0, 'eqrnrp4tke', 'Cable', 'B Up', 'Surface Mount', 'Universal Top', '', 1.0, 38.0, 29.49, '', 182534]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",30.4113,1,20.0,"3.4375999999999998,1.0,6.5626,1.0,9.6876,5.0,12.8126,5.0,15.9376,1.0,19.0626,1.0,22.1876,5.0,25.3126,5.0,28.4376,1.0,31.5626,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200086.0, 43735.0, 43745.0, 'Special: CR Post - Angled Foot - UT 82300', 4.0, '9vhepyrm6n', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 3.0, 38.0, 29.49, 'PC: Black', 150194]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",30.4113,1,20.0,"3.4375999999999998,1.0,6.5626,1.0,9.6876,5.0,12.8126,5.0,15.9376,1.0,19.0626,1.0,22.1876,5.0,25.3126,5.0,28.4376,1.0,31.5626,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200086.0, 43735.0, 43745.0, 'Special: CR Post - Angled Foot - UT 82300', 5.0, 'eh29pkw7yn', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 3.0, 38.0, 29.49, 'PC: Black', 150194]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",30.4113,1,20.0,"3.4375999999999998,1.0,6.5626,1.0,9.6876,5.0,12.8126,5.0,15.9376,1.0,19.0626,1.0,22.1876,5.0,25.3126,5.0,28.4376,1.0,31.5626,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200086.0, 43735.0, 43745.0, 'Special: CR Post - Angled Foot - UT 82300', 6.0, '4caz572oc7', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 3.0, 38.0, 29.49, 'PC: Black', 150194]"

