Model,PART,MATERIAL,ID NUMBER,BIN NUMBER,CUT LENGTH,CRC,ADDITIONAL STEPS,STEPS,EXTRA
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,40.75,1,20,"3.2388,1.0,6.3637999999999995,1.0,9.4888,5.0,12.6138,5.0,15.7388,1.0,18.8638,1.0,21.9888,5.0,25.1138,5.0,28.2388,1.0,31.3638,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[201624.0, 43740.0, 43748.0, 'Cable - Alum - 36 B-5 LH - Side Mount & Universal Top', 4.0, 'xphrd5gvi7', 'Cable', 'B-5 LH', 'Side Mount', 'Universal Top', '', 1.0, 34.29, 36.0, 'PC: Black', 133124.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,40.75,1,22,"0.5625,1.0,0.5625,4.0,0.0,1.0,3.125,1.0,6.25,5.0,9.375,5.0,12.5,1.0,15.625,1.0,18.75,5.0,21.875,5.0,25.0,1.0,28.125,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[201624.0, 43740.0, 43748.0, 'Cable - Alum - 36 G LH - Side Mount & Universal Top', 5.0, 'd0964czaok', 'Cable', 'G LH', 'Side Mount', 'Universal Top', '', 1.0, 34.29, 36.0, 'PC: Black', 246813.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,40.75,1,42,"0.5625,1.0,0.5625,4.0,0.0,1.0,3.125,1.0,6.25,5.0,9.375,5.0,12.5,1.0,15.625,1.0,18.75,5.0,21.875,5.0,25.0,1.0,28.125,1.0,1.875,4.0,5.0,4.0,8.125,8.0,11.25,8.0,14.375,4.0,17.5,4.0,20.625,8.0,23.75,8.0,26.875,4.0,30.0,4.0,1.875,19.0,5.0,19.0,8.125,19.0,11.25,19.0,14.375,19.0,17.5,19.0,20.625,19.0,23.75,19.0,26.875,19.0,30.0,19.0,1.875,16.0,5.0,16.0,8.125,16.0,11.25,16.0,14.375,16.0,17.5,16.0,20.625,16.0,23.75,16.0,26.875,16.0,30.0,16.0","[201624.0, 43740.0, 43748.0, 'Cable - Alum - 36 D RH - Inside Corner Side Mount & Universal Top', 6.0, 'c0757r91mt', 'Cable', 'D RH', 'Side Mount', 'Universal Top', '', 1.0, 34.29, 36.0, 'PC: Black', 138536.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,40.75,1,20,"1.875,2,5,2,8.125,6,11.25,6,14.375,2,17.5,2,20.625,6,23.75,6,26.875,2,30,2,1.875,4,5,4,8.125,8,11.25,8,14.375,4,17.5,4,20.625,8,23.75,8,26.875,4,30,4","[201624.0, 43740.0, 43748.0, 'Cable - Alum - 36 C Left - Outside Corner Side Mount & Universal Top', 7.0, '92pxzvtmx2', 'Cable', 'C Left', 'Side Mount', 'Universal Top', '', 2.0, '', 36.0, 'PC: Black', 138534.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,40.75,1,20,"1.875,2,5,2,8.125,6,11.25,6,14.375,2,17.5,2,20.625,6,23.75,6,26.875,2,30,2,1.875,4,5,4,8.125,8,11.25,8,14.375,4,17.5,4,20.625,8,23.75,8,26.875,4,30,4","[201624.0, 43740.0, 43748.0, 'Cable - Alum - 36 C Left - Outside Corner Side Mount & Universal Top', 8.0, 'rnc2e18r9n', 'Cable', 'C Left', 'Side Mount', 'Universal Top', '', 2.0, '', 36.0, 'PC: Black', 138534.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.224,2.0,6.349,2.0,9.474,6.0,12.599,6.0,15.724,2.0,18.849,2.0,21.974,6.0,25.099,6.0,28.224,2.0,31.349,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 36 B Up - Surface Mount & Universal Top', 1.0, 'ggxn7g89i8', 'Cable', 'B Up', 'Surface Mount', 'Universal Top', '', 1.0, 34.0, 36.0, 'PC: Black', 182537.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.224,1.0,6.349,1.0,9.474,5.0,12.599,5.0,15.724,1.0,18.849,1.0,21.974,5.0,25.099,5.0,28.224,1.0,31.349,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 2.0, '2bhqhs5z8L', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 2.0, 34.0, 36.0, 'PC: Black', 132010.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.224,1.0,6.349,1.0,9.474,5.0,12.599,5.0,15.724,1.0,18.849,1.0,21.974,5.0,25.099,5.0,28.224,1.0,31.349,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 3.0, '5s2qs2qc0x', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 2.0, 34.0, 36.0, 'PC: Black', 132010.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.224,1.0,6.349,1.0,9.474,5.0,12.599,5.0,15.724,1.0,18.849,1.0,21.974,5.0,25.099,5.0,28.224,1.0,31.349,1.0,1.875,4.0,5.0,4.0,8.125,8.0,11.25,8.0,14.375,4.0,17.5,4.0,20.625,8.0,23.75,8.0,26.875,4.0,30.0,4.0","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 36 B Down - Surface Mount & Universal Top', 4.0, '41dierwusp', 'Cable', 'B Down', 'Surface Mount', 'Universal Top', '', 1.0, 34.0, 36.0, 'PC: Black', 182645.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.224,2.0,6.349,2.0,9.474,6.0,12.599,6.0,15.724,2.0,18.849,2.0,21.974,6.0,25.099,6.0,28.224,2.0,31.349,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 36 B Up - Surface Mount & Universal Top', 5.0, 'c2hdebLmoo', 'Cable', 'B Up', 'Surface Mount', 'Universal Top', '', 1.0, 34.0, 36.0, 'PC: Black', 182537.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.224,1.0,6.349,1.0,9.474,5.0,12.599,5.0,15.724,1.0,18.849,1.0,21.974,5.0,25.099,5.0,28.224,1.0,31.349,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 6.0, 'd3k7vLasse', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 1.0, 34.0, 36.0, 'PC: Black', 132010.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.224,1.0,6.349,1.0,9.474,5.0,12.599,5.0,15.724,1.0,18.849,1.0,21.974,5.0,25.099,5.0,28.224,1.0,31.349,1.0,1.875,4.0,5.0,4.0,8.125,8.0,11.25,8.0,14.375,4.0,17.5,4.0,20.625,8.0,23.75,8.0,26.875,4.0,30.0,4.0","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 36 B Down - Surface Mount & Universal Top', 7.0, 'qyczyp5yb4', 'Cable', 'B Down', 'Surface Mount', 'Universal Top', '', 1.0, 34.0, 36.0, 'PC: Black', 182645.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,36.25,1,22,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 8.0, 'x02ggrpz9n', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 2.0, '', 39.0, 'PC: Black', 132049.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,36.25,1,22,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 12.0, 'z3mumcqt7L', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 2.0, '', 39.0, 'PC: Black', 132049.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,36.25,1,22,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 39 C Left - Surface Mount & Universal Top', 9.0, '58gwcwoo6g', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 2.0, '', 39.0, 'PC: Black', 132065.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,36.25,1,22,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 39 C Left - Surface Mount & Universal Top', 11.0, 'L0sq1r69e6', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 2.0, '', 39.0, 'PC: Black', 132065.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,36.25,1,22,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[183077.0, 43740.0, 43749.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 10.0, 'kqh4abye7v', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 1.0, '', 39.0, 'PC: Black', 150203.0]"
